"FeatureID","FeatureName","type","X","log2FoldChange"
"ENSGACG00000017164","rps3a","Bcell","ENSGACT00000022718.1",-0.181185748149652
"ENSGACG00000017166","mpx","Neutrophil","ENSGACT00000022731.1",1.73359618928636
"ENSGACG00000017166","mpx","Neutrophil","ENSGACT00000022724.1",-0.322457140006273
"ENSGACG00000017200","taldo1","Neutrophil","ENSGACT00000022801.1",-0.869348686679436
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil","ENSGACT00000022896.1",1.04733861239371
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil","ENSGACT00000022900.1",-0.64895116951626
"ENSGACG00000017373","ENSGACG00000017373","RBC","ENSGACT00000022999.1",-0.679921931360529
"ENSGACG00000017383","aqp1a.1","RBC","ENSGACT00000023023.1",-0.957597668088583
"ENSGACG00000017481","gtpbp4","Bcell","ENSGACT00000023209.1",1.20113600469428
"ENSGACG00000017481","gtpbp4","Bcell","ENSGACT00000023186.1",-0.526276839645509
"ENSGACG00000017491","rpl12","HC","ENSGACT00000023158.1",-0.258109701076532
"ENSGACG00000017697","ENSGACG00000017697","APC","ENSGACT00000023437.2",-0.666440149097542
"ENSGACG00000017697","ENSGACG00000017697","APC","ENSGACT00000023435.1",-0.382739678279921
"ENSGACG00000017697","ENSGACG00000017697","Fibroblast","ENSGACT00000023437.2",-0.666440149097542
"ENSGACG00000017697","ENSGACG00000017697","Fibroblast","ENSGACT00000023435.1",-0.382739678279921
"ENSGACG00000017701","ENSGACG00000017701","Neutrophil","ENSGACT00000023440.1",-0.496048653445352
"ENSGACG00000017702","eef1g","HC","ENSGACT00000023445.1",-0.527306071682279
"ENSGACG00000018028","spock3","Platelet","ENSGACT00000023867.1",0.616009348064972
"ENSGACG00000018103","rack1","Bcell","ENSGACT00000023978.1",-0.278926089293758
"ENSGACG00000018299","si:ch211-156l18.7","Fibroblast","ENSGACT00000024237.1",-0.758434271555182
"ENSGACG00000018429","ENSGACG00000018429","APC","ENSGACT00000024410.1",-0.35304116927587
"ENSGACG00000018502","sprb","APC","ENSGACT00000024511.1",-0.55298686450007
"ENSGACG00000018539","sh2d1ab","NKC","ENSGACT00000024555.1",0.502874818566816
"ENSGACG00000018552","sh3bgrl","Neutrophil","ENSGACT00000024572.1",-0.422343630260875
"ENSGACG00000018584","tln1","Platelet","ENSGACT00000024631.1",-0.581162719249844
"ENSGACG00000018609","clta","APC","ENSGACT00000024649.1",-0.622245626713144
"ENSGACG00000018844","fgl2a","Platelet","ENSGACT00000024966.1",0.552529377493915
"ENSGACG00000019128","ENSGACG00000019128","Platelet","ENSGACT00000025341.1",-0.423155208490189
"ENSGACG00000019128","ENSGACG00000019128","Fibroblast","ENSGACT00000025341.1",-0.423155208490189
"ENSGACG00000019142","ENSGACG00000019142","Neutrophil","ENSGACT00000025368.1",-0.322785899272901
"ENSGACG00000019168","myh11a","Platelet","ENSGACT00000025393.1",-0.792149905020186
"ENSGACG00000019287","ENSGACG00000019287","Neutrophil","ENSGACT00000025549.1",-0.335760333615884
"ENSGACG00000019471","rbpms","Platelet","ENSGACT00000025790.1",-0.556879722016626
"ENSGACG00000019805","btg1","Bcell","ENSGACT00000026220.1",-0.820905991212605
"ENSGACG00000019806","dcn","Fibroblast","ENSGACT00000026231.1",0.429194700982679
"ENSGACG00000019806","dcn","Fibroblast","ENSGACT00000026230.1",0.901426625143828
"ENSGACG00000019847","cct7","HC","ENSGACT00000026290.1",-0.730610292232671
"ENSGACG00000019945","ptn","Fibroblast","ENSGACT00000026404.1",0.644145871765406
"ENSGACG00000019990","hcls1","Neutrophil","ENSGACT00000026461.1",-0.604485048603895
"ENSGACG00000020086","ENSGACG00000020086","RBC","ENSGACT00000026589.1",-0.732376634904845
"ENSGACG00000020298","pcolcea","Fibroblast","ENSGACT00000026872.1",1.04716605094854
"ENSGACG00000020333","msna","Neutrophil","ENSGACT00000026923.1",-0.891692320893128
"ENSGACG00000020494","cct6a","HC","ENSGACT00000027152.1",-0.624039966208338
"ENSGACG00000020547","alox5ap","Neutrophil","ENSGACT00000027217.1",-0.726130372333261
"ENSGACG00000020581","sod1","RBC","ENSGACT00000027268.1",-0.492890349692412
"ENSGACG00000020795","pgk1","Neutrophil","ENSGACT00000027547.1",-0.521592181247036
"ENSGACG00000020896","rhogb","Neutrophil","ENSGACT00000027682.1",-0.361381134132564
"ENSGACG00000020906","rps14","Bcell","ENSGACT00000027698.1",-0.231698838356025
"ENSGACG00000020925","mt-nd1","Neutrophil","ENSGACT00000027717.1",-0.57012335133
"ENSGACG00000020929","mt-nd2","Neutrophil","ENSGACT00000027721.1",0.239099627497138
"ENSGACG00000020938","mt-co2","Neutrophil","ENSGACT00000027730.1",-0.310387167266294
"ENSGACG00000020940","ENSGACG00000020940","Neutrophil","ENSGACT00000027732.1",0.584690019311696
