FeatureID,FeatureName,ROB Average,ROB Log2 Fold Change,ROB P-Value,SAY Average,SAY Log2 Fold Change,SAY P-Value
ENSGACG00000008262,fance,5.939960216958879,-0.044139430691282566,1,6.174853454960852,0.044139430691282566,1
ENSGACG00000007396,eno1a,1.2733442754812552,0.18880905913942314,1,1.1178614013291197,-0.18880905913942314,1
ENSGACG00000007164,pgd,1.6411221861107184,1.8759184468680319,1,0.4391598362364399,-1.8759184468680319,1
ENSGACG00000006447,ybx1,2.9630409026185065,0.21450580680624487,1,2.568419648291906,-0.21450580680624487,1
ENSGACG00000013304,ENSGACG00000013304,1.8041935238426503,-0.00874685527954866,1,1.8231787140724929,0.00874685527954866,1
ENSGACG00000013073,rpl10,6.536731920999141,-0.1665466699638931,1,7.399177846892745,0.1665466699638931,1
ENSGACG00000012484,zgc:171772,7.80660659354993,-0.27885957976502995,1,9.555053406598905,0.27885957976502995,1
ENSGACG00000015549,rps15,1.3843715692561875,-0.022972757406310218,1,1.4106346254867463,0.022972757406310218,1
ENSGACG00000015568,rps28,4.569467059424558,-0.2407074052772824,1,5.4429203945667854,0.2407074052772824,1
ENSGACG00000016489,rps8a,6.939205860933271,-0.24656888842359637,1,8.304113267016318,0.24656888842359637,1
ENSGACG00000016865,TPM4,1.332327525299188,-0.3253320119697901,1,1.6767921019936796,0.3253320119697901,1
ENSGACG00000017028,ENSGACG00000017028,2.199728257915847,-0.3696366812838281,1,2.8611928724495326,0.3696366812838281,1
ENSGACG00000017191,eef1da,1.4502940249350535,-0.02191044913814011,1,1.4771739946134796,0.02191044913814011,1
ENSGACG00000001519,itgb2,1.245587452037522,0.15710019941208497,1,1.1178614013291197,-0.15710019941208497,1
ENSGACG00000001577,ENSGACG00000001577,1.1380297611930563,-0.11800703872228369,1,1.2376322657572398,0.11800703872228369,1
ENSGACG00000002035,rpl8,8.521344797226057,-0.2153489159319948,1,9.980905369009998,0.2153489159319948,1
ENSGACG00000002393,ENSGACG00000002393,8.78503461994152,0.5326464605032748,1,6.121621959659465,-0.5326464605032748,1
ENSGACG00000003250,rpl24,3.0081457407145726,-0.027996872989688892,1,3.087426727480426,0.027996872989688892,1
ENSGACG00000006855,tpt1,3.244078739986304,-0.043681927968649115,1,3.366892077812706,0.043681927968649115,1
ENSGACG00000007282,cxcr4a,0.808417482798726,-0.32178378189138473,1,1.0113984107263465,0.32178378189138473,1
ENSGACG00000007959,lcp1,1.0929249230969902,0.31232959693944273,1,0.8783196724728798,-0.31232959693944273,1
ENSGACG00000007989,itm2bb,3.223261122403504,0.4279303050168093,1,2.4087251623877464,-0.4279303050168093,1
ENSGACG00000000825,PDCL3,1.7556190828161173,0.702927971605369,1,1.0779377798530798,-0.702927971605369,1
ENSGACG00000001123,ENSGACG00000001123,36.02488722703507,0.08523588535963089,1,34.281082974093,-0.08523588535963089,1
ENSGACG00000000344,ENSGACG00000000344,0.8118870857291927,-1.1781280311598545,1,1.8497944617231863,1.1781280311598545,1
ENSGACG00000018720,rps4x,3.5702214154501677,0.006251064239861881,1,3.5798180590182525,-0.006251064239861881,1
ENSGACG00000019085,f13a1b,3.9796345612452306,-0.12677724835001603,1,4.378290488539053,0.12677724835001603,1
ENSGACG00000019142,ENSGACG00000019142,1.037411276209524,0.19493227293782386,1,0.9049354201235731,-0.19493227293782386,1
ENSGACG00000019471,rbpms,1.2802834813421884,0.8246597862117648,1,0.7186251865687199,-0.8246597862117648,1
ENSGACG00000019593,rpl34,8.219489342275459,-0.0919011473828184,1,8.836428220030184,0.0919011473828184,1
ENSGACG00000019847,cct7,0.8118870857291927,-0.4751097689169862,1,1.1311692751544664,0.4751097689169862,1
ENSGACG00000020072,eif4a1b,1.6584702007630516,-0.15076313198867397,1,1.8497944617231863,0.15076313198867397,1
ENSGACG00000020086,ENSGACG00000020086,0.9957760410439243,-1.2148685779748727,1,2.328877919435666,1.2148685779748727,1
ENSGACG00000020257,ubb,3.747171164903966,-0.027120243060172022,1,3.8459755355251857,0.027120243060172022,1
ENSGACG00000020286,prdx5,1.5474429069881193,1.0974093468787705,1,0.7186251865687199,-1.0974093468787705,1
ENSGACG00000020333,msna,1.141499364123523,0.7685349114944323,1,0.6653936912673332,-0.7685349114944323,1
ENSGACG00000020358,tagln2,2.7305775062772417,0.23725824003919116,1,2.328877919435666,-0.23725824003919116,1
ENSGACG00000020625,rpl23a,7.130034022108935,0.022270865654814287,1,7.079788875084425,-0.022270865654814287,1
ENSGACG00000020692,ENSGACG00000020692,5.037863455037554,-0.34535547675282796,1,6.454318805293132,0.34535547675282796,1
ENSGACG00000020906,rps14,11.841754801682626,-0.1364818493368274,1,13.134871465617158,0.1364818493368274,1
ENSGACG00000016901,ENSGACG00000016901,1.6688790095544515,0.7587086849541927,1,0.9847826630756531,-0.7587086849541927,1
ENSGACG00000016924,fermt3b,2.9109968586615067,0.4225613426404189,1,2.182491307356853,-0.4225613426404189,1
ENSGACG00000017032,cfl1,3.6465526799204335,-0.1856509898748644,1,4.178672381158853,0.1856509898748644,1
ENSGACG00000017440,rpl39,7.00165871368167,-0.15295108562594706,1,7.851645556954532,0.15295108562594706,1
ENSGACG00000017482,rpl36a,8.417256709312056,-0.23499241930639148,1,9.994213242835345,0.23499241930639148,1
ENSGACG00000017697,ENSGACG00000017697,0.7945390710768595,-0.5876665500342091,1,1.1977086442811997,0.5876665500342091,1
ENSGACG00000017702,eef1g,3.6500222828509004,-0.05499724119648319,1,3.8193597878744927,0.05499724119648319,1
ENSGACG00000018016,cd74a,1.311509907716388,-0.7430122150828485,1,2.209107055007546,0.7430122150828485,1
ENSGACG00000018103,rack1,4.971940999358688,-0.23069554063300135,1,5.882080230803226,0.23069554063300135,1
ENSGACG00000018439,rpl26,7.900285872672528,-0.2106017816500363,1,9.222356560965238,0.2106017816500363,1
ENSGACG00000018552,sh3bgrl,4.600693485798758,0.6284117321751177,1,2.994271610702999,-0.6284117321751177,1
ENSGACG00000019287,ENSGACG00000019287,3.396741268926836,0.5600648663903538,1,2.3155700456103196,-0.5600648663903538,1
ENSGACG00000019282,ENSGACG00000019282,16.445917890411852,0.6690648731675184,1,10.433373079071785,-0.6690648731675184,1
ENSGACG00000019128,ENSGACG00000019128,1.1970130110109891,1.0498346482195398,1,0.5722385744899066,-1.0498346482195398,1
ENSGACG00000018844,fgl2a,1.3149795106468547,0.30464364466643545,1,1.064629906027733,-0.30464364466643545,1
ENSGACG00000019805,btg1,1.2802834813421884,0.32061728087417607,1,1.0247062845516932,-0.32061728087417607,1
ENSGACG00000019990,hcls1,1.0061848498353243,0.23714556909994133,1,0.8517039248221865,-0.23714556909994133,1
ENSGACG00000020009,rps16,5.187056381047619,-0.061462084573934206,1,5.456228268392132,0.061462084573934206,1
ENSGACG00000000590,rpl18a,4.940714572984488,-0.07432459990488693,1,5.2433022871865855,0.07432459990488693,1
ENSGACG00000010476,fosab,1.377432363395254,-0.8433261919138765,1,2.488572405339826,0.8433261919138765,1
ENSGACG00000010916,rps12,5.745662452852748,-0.03835899561603995,1,5.948619599929959,0.03835899561603995,1
ENSGACG00000011913,rps7,8.06335721040446,-0.12172532696839422,1,8.849736093855531,0.12172532696839422,1
ENSGACG00000012370,fkbp1b,1.0929249230969902,0.038568784512590715,1,1.064629906027733,-0.038568784512590715,1
ENSGACG00000012791,faua,8.268063783301992,-0.00540145870500508,1,8.37065263614305,0.00540145870500508,1
ENSGACG00000012858,rps29,3.518177371493168,-0.18602546215093474,1,4.0322857690800396,0.18602546215093474,1
ENSGACG00000013530,hsp90ab1,5.808115305601147,-0.07339757567496275,1,6.161545581135505,0.07339757567496275,1
ENSGACG00000020925,mt-nd1,5.010106631593821,0.2860895977459048,1,4.138748759682812,-0.2860895977459048,1
ENSGACG00000020929,mt-nd2,5.384823748084218,0.2703386904710694,1,4.498061352967173,-0.2703386904710694,1
ENSGACG00000020935,mt-co1,16.366117023011117,0.11872640568118564,1,15.210899782371238,-0.11872640568118564,1
ENSGACG00000020938,mt-co2,61.90118588245524,0.1906004951807132,1,54.76190079130152,-0.1906004951807132,1
ENSGACG00000020940,ENSGACG00000020940,13.54879944347221,0.4592198132192671,1,9.940981747533957,-0.4592198132192671,1
ENSGACG00000020942,mt-co3,25.30381417189317,0.24090852075304525,1,21.61198709236298,-0.24090852075304525,1
ENSGACG00000020946,mt-nd4l,4.111479472602963,0.4100093872011161,1,3.1140424751311193,-0.4100093872011161,1
